"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	0.18	0.551	400	1600	0.372	150.7	689.1	0.372	0.3	646	796.7	"646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;689.1;667.5;667.5;667.5;689.1;689.1;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;732.1;753.7;775.2;775.2;796.7;818.3;796.7;904.4;904.4;904.4;732.1;732.1;753.7;818.3;732.1;732.1"	0.9531	NA	NA
2	"Spectrogram 1"	1	0.772	1.521	400	1600	0.749	129.2	689.1	1.161	0.6	646	775.2	"646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;732.1;732.1;753.7;775.2;775.2;796.7;818.3;904.4;925.9;969.0;1012.1;732.1;732.1;689.1;818.3;689.1;710.6;710.6;710.6;710.6"	0.9922	NA	NA
3	"Spectrogram 1"	1	1.652	2.484	468.8	1467.3	0.832	172.3	689.1	2.136	0.6	646	818.3	"689.1;689.1;689.1;710.6;710.6;1076.7;732.1;689.1;689.1;689.1;689.1;602.9;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;753.7;775.2;775.2;796.7;818.3;710.6;710.6;904.4;732.1;753.7;753.7;1055.1;710.6;710.6;710.6;710.6;667.5;710.6;689.1;689.1;710.6;732.1;775.2;796.7;689.1;710.6;710.6;710.6;796.7;839.8"	NA	NA	NA
4	"Spectrogram 1"	1	2.682	3.164	400	1600	0.482	215.3	710.6	2.908	0.4	667.5	882.9	"689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;710.6;710.6;710.6;753.7;753.7;753.7;775.2;796.7;818.3;818.3;796.7;904.4;732.1;732.1;753.7;1033.6;796.7;710.6;710.6;710.6;753.7;990.5;969.0;990.5;710.6;732.1;710.6"	0.9157	NA	NA
5	"Spectrogram 1"	1	3.367	3.686	400	1600	0.319	409.1	732.1	3.524	0.2	667.5	1076.7	"689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;753.7;753.7;753.7;753.7;775.2;796.7;796.7;818.3;904.4;732.1;732.1;732.1;732.1;710.6;732.1;1184.3;1184.3;1141.3;969.0;775.2;732.1;710.6;732.1;753.7"	0.8909	NA	NA
6	"Spectrogram 1"	1	3.843	4.069	400	1600	0.226	495.3	775.2	3.953	0.2	710.6	1205.9	"710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;753.7;775.2;796.7;753.7;732.1;732.1;753.7;904.4;904.4;1012.1;1055.1;1098.2;1141.3;1162.8;1205.9;1205.9;1227.4;818.3;775.2;753.7;775.2;753.7;753.7;753.7;753.7"	0.8718	NA	NA
7	"Spectrogram 1"	1	4.168	4.313	400	1600	0.145	516.8	861.3	4.255	0.1	710.6	1227.4	"710.6;710.6;732.1;732.1;732.1;753.7;753.7;775.2;775.2;775.2;796.7;818.3;818.3;775.2;904.4;904.4;732.1;1055.1;1076.7;1141.3;1184.3;1205.9;1227.4;1227.4;796.7;796.7"	1	NA	NA
8	"Spectrogram 1"	1	4.435	4.539	400	1600	0.104	495.3	1076.7	4.505	0.1	753.7	1248.9	"753.7;753.7;775.2;775.2;796.7;818.3;796.7;882.9;904.4;990.5;1033.6;1076.7;1141.3;1184.3;1205.9;1227.4;1248.9;775.2;796.7"	0.9444	NA	NA
9	"Spectrogram 1"	1	4.638	4.725	400	1600	0.087	495.3	1098.2	4.696	0.1	753.7	1248.9	"732.1;732.1;775.2;775.2;796.7;882.9;904.4;796.7;1055.1;1076.7;1162.8;1184.3;1205.9;1227.4;1248.9;990.5"	0.9333	NA	NA
10	"Spectrogram 1"	1	4.824	4.876	400	1600	0.052	452.2	1141.3	4.853	0	796.7	1248.9	"904.4;904.4;1033.6;1033.6;1076.7;1141.3;1205.9;1227.4;1227.4;1227.4"	0.8889	NA	NA
11	"Spectrogram 1"	1	4.998	5.021	400	1600	0.023	344.5	1162.8	5.01	0	904.4	1248.9	"1162.8;1184.3;1184.3;1227.4;1205.9"	1	NA	NA
12	"Spectrogram 1"	1	5.132	5.161	400	1600	0.029	301.5	1184.3	5.143	0	947.5	1248.9	"1119.7;1119.7;1184.3;1205.9;1205.9;1184.3"	1	NA	NA
13	"Spectrogram 1"	1	5.265	5.288	400	1600	0.023	236.9	1162.8	5.277	0	990.5	1227.4	"1076.7;1141.3;1184.3;1184.3;1055.1"	1	NA	NA
14	"Spectrogram 1"	1	5.364	5.416	400	1600	0.052	452.2	1098.2	5.399	0	753.7	1205.9	"796.7;796.7;796.7;925.9;1033.6;1119.7;1141.3;1184.3;1205.9;1033.6"	1	NA	NA
15	"Spectrogram 1"	1	5.492	5.521	400	1600	0.029	387.6	861.3	5.503	0	732.1	1119.7	"796.7;796.7;925.9;990.5;1055.1"	1	NA	NA
16	"Spectrogram 1"	1	5.613	5.642	400	1600	0.029	430.7	990.5	5.631	0	775.2	1205.9	"818.3;904.4;990.5;1098.2;1162.8;1162.8"	0.4	NA	NA
