"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
13	"Spectrogram 1"	1	7.634	7.674	400	1600	0.041	344.5	1033.6	7.651	0	818.3	1162.8	"861.3;969.0;969.0;1012.1;1055.1;1119.7;1119.7;1119.7"	1	NA	NA
14	"Spectrogram 1"	1	7.79	7.831	400	1600	0.041	323	1033.6	7.808	0	818.3	1141.3	"904.4;990.5;990.5;1033.6;1119.7;1119.7;1098.2;1119.7"	1	NA	NA
15	"Spectrogram 1"	1	7.935	7.976	400	1600	0.041	323	1033.6	7.953	0	818.3	1141.3	"861.3;969.0;969.0;1033.6;1098.2;1119.7;1119.7;1119.7"	1	NA	NA
16	"Spectrogram 1"	1	8.081	8.121	400	1600	0.041	344.5	1033.6	8.098	0	818.3	1162.8	"861.3;990.5;1033.6;1033.6;1119.7;1119.7;1098.2;1141.3"	1	NA	NA
17	"Spectrogram 1"	1	8.22	8.26	400	1600	0.041	366.1	1033.6	8.237	0	796.7	1162.8	"861.3;990.5;990.5;1033.6;1119.7;1119.7;1098.2;1141.3"	1	NA	NA
18	"Spectrogram 1"	1	8.359	8.4	400	1600	0.041	344.5	1012.1	8.377	0	796.7	1141.3	"796.7;861.3;969.0;1033.6;1098.2;1119.7;1098.2"	1	NA	NA
19	"Spectrogram 1"	1	8.493	8.539	400	1600	0.046	366.1	1033.6	8.51	0	818.3	1184.3	"839.8;947.5;1033.6;1033.6;1098.2;1119.7;1119.7;1141.3;1033.6"	1	NA	NA
20	"Spectrogram 1"	1	8.626	8.673	400	1600	0.046	387.6	1055.1	8.644	0	818.3	1205.9	"882.9;969.0;1033.6;1033.6;1098.2;1119.7;1119.7;1141.3;1119.7"	1	NA	NA
21	"Spectrogram 1"	1	8.76	8.8	400	1600	0.041	387.6	1055.1	8.777	0	839.8	1227.4	"947.5;1012.1;1012.1;1076.7;1119.7;1227.4;1205.9;1205.9"	1	NA	NA
22	"Spectrogram 1"	1	8.882	8.934	400	1600	0.052	452.2	1033.6	8.905	0	796.7	1248.9	"818.3;882.9;990.5;990.5;1033.6;1119.7;1227.4;1227.4;1227.4"	1	NA	NA
23	"Spectrogram 1"	1	9.009	9.059	400	1600	0.049	452.2	1076.7	9.033	0	839.8	1292	"839.8;947.5;1033.6;1033.6;1119.7;1248.9;1270.5;1270.5;1205.9"	0.6667	NA	NA
24	"Spectrogram 1"	1	9.111	9.199	419.8	1565.4	0.088	452.2	1098.2	9.16	0	818.3	1270.5	"1184.3;1184.3;689.1;710.6;796.7;861.3;969.0;1033.6;1098.2;1227.4;1248.9;1248.9;1248.9;1270.5;1270.5"	NA	NA	NA
25	"Spectrogram 1"	1	9.253	9.305	400	1600	0.052	409.1	1055.1	9.282	0	818.3	1227.4	"753.7;839.8;925.9;1012.1;1012.1;1055.1;1141.3;1119.7;1076.7;1141.3"	1	NA	NA
26	"Spectrogram 1"	1	9.392	9.427	400	1600	0.035	366.1	1055.1	9.404	0	861.3	1227.4	"1033.6;1055.1;1055.1;1119.7;1248.9;1205.9;1205.9"	1	NA	NA
27	"Spectrogram 1"	1	9.514	9.549	400	1600	0.035	366.1	1076.7	9.526	0	904.4	1270.5	"1012.1;1055.1;1055.1;1119.7;1248.9;1248.9;1227.4"	1	NA	NA
28	"Spectrogram 1"	1	9.63	9.671	400	1600	0.041	387.6	1076.7	9.648	0	861.3	1248.9	"839.8;947.5;1033.6;1076.7;1119.7;1248.9;1248.9;1184.3"	1	NA	NA
29	"Spectrogram 1"	1	9.752	9.799	400	1600	0.046	344.5	1076.7	9.77	0	861.3	1205.9	"818.3;925.9;1012.1;1098.2;1119.7;1098.2;1076.7;1076.7;1162.8"	1	NA	NA
30	"Spectrogram 1"	1	9.868	9.915	400	1600	0.046	409.1	1076.7	9.892	0	839.8	1248.9	"839.8;969.0;969.0;1033.6;1119.7;1205.9;1248.9;1076.7"	1	NA	NA
31	"Spectrogram 1"	1	9.985	10.04	400	1600	0.056	387.6	1055.1	10.008	0	818.3	1205.9	"839.8;990.5;1033.6;1033.6;1076.7;1162.8;1248.9;1076.7;1033.6;1119.7"	0.8438	NA	NA
32	"Spectrogram 1"	1	10.077	10.165	411	1521.6	0.088	430.7	1055.1	10.124	0	796.7	1227.4	"1119.7;1162.8;1076.7;732.1;732.1;796.7;925.9;1012.1;1055.1;1184.3;1205.9;1205.9;1076.7;1141.3;1184.3;925.9"	NA	NA	NA
33	"Spectrogram 1"	1	10.217	10.269	839.5	1495.4	0.052	323	1205.9	10.246	0	969	1292	"1205.9;1227.4;1076.7;1227.4;1227.4;1227.4;1270.5;1033.6"	NA	NA	NA
34	"Spectrogram 1"	1	10.35	10.379	400	1600	0.029	323	1205.9	10.362	0	1012.1	1335.1	"1184.3;1184.3;1227.4;1292.0;1313.5;1270.5"	1	NA	NA
35	"Spectrogram 1"	1	10.466	10.507	400	1600	0.041	258.4	1098.2	10.478	0	990.5	1248.9	"1076.7;1076.7;1098.2;1119.7;1227.4;1205.9;1227.4;1205.9"	1	NA	NA
36	"Spectrogram 1"	1	10.571	10.606	400	1600	0.035	409.1	1076.7	10.588	0	796.7	1205.9	"839.8;839.8;990.5;1076.7;1119.7;1184.3;1076.7"	1	NA	NA
37	"Spectrogram 1"	1	10.675	10.762	400	1600	0.087	473.7	1162.8	10.704	0.1	839.8	1313.5	"1593.5;753.7;839.8;882.9;1055.1;1076.7;1248.9;1270.5;1292.0;1270.5;1292.0;1292.0;1313.5;1292.0;1076.7;1162.8"	0.8667	NA	NA
38	"Spectrogram 1"	1	10.809	10.866	699.6	1477.9	0.057	193.8	1227.4	10.826	0	1098.2	1292	"1205.9;1248.9;1248.9;1227.4;1205.9;1205.9;1205.9;1205.9;1227.4"	NA	NA	NA
39	"Spectrogram 1"	1	10.892	10.966	400	1600	0.074	409.1	1055.1	10.931	0	839.8	1248.9	"1205.9;1227.4;753.7;796.7;904.4;990.5;1076.7;1162.8;1227.4;1033.6;1119.7;1098.2"	0.6923	NA	NA
40	"Spectrogram 1"	1	11.029	11.099	400	1600	0.07	301.5	1055.1	11.047	0	904.4	1205.9	"947.5;1012.1;1055.1;1055.1;1162.8;1205.9;969.0;1184.3;1162.8;1033.6;1055.1;1055.1;1012.1"	0.9167	NA	NA
41	"Spectrogram 1"	1	11.151	11.192	400	1600	0.041	236.9	1076.7	11.163	0	969	1205.9	"990.5;1033.6;1119.7;1184.3;1162.8;1119.7;1162.8;1141.3"	1	NA	NA
42	"Spectrogram 1"	1	11.262	11.291	400	1600	0.029	301.5	1119.7	11.273	0	925.9	1227.4	"1055.1;1119.7;1119.7;1184.3;1184.3;1184.3"	1	NA	NA
43	"Spectrogram 1"	1	11.378	11.413	400	1600	0.035	279.9	1162.8	11.389	0	969	1248.9	"1098.2;1162.8;1162.8;1205.9;1205.9"	1	NA	NA
44	"Spectrogram 1"	1	11.482	11.529	400	1600	0.046	279.9	1205.9	11.505	0	1141.3	1421.2	"1141.3;1162.8;1205.9;1205.9;1227.4;1227.4;1205.9;1184.3;1270.5"	1	NA	NA
45	"Spectrogram 1"	1	11.598	11.622	400	1600	0.023	344.5	1033.6	11.61	0	904.4	1248.9	"969.0;969.0;1098.2;1141.3;1227.4"	1	NA	NA
46	"Spectrogram 1"	1	11.703	11.743	400	1600	0.041	344.5	1162.8	11.72	0	904.4	1248.9	"990.5;1119.7;1184.3;1184.3;1227.4;1227.4;1184.3;1162.8"	1	NA	NA
47	"Spectrogram 1"	1	11.825	11.854	400	1600	0.029	193.8	1119.7	11.831	0	1033.6	1227.4	"1098.2;1098.2;1162.8;1162.8"	1	NA	NA
48	"Spectrogram 1"	1	11.935	11.958	400	1600	0.023	150.7	1141.3	11.941	0	1076.7	1227.4	"1141.3;1141.3;1162.8;1205.9;1205.9"	1	NA	NA
49	"Spectrogram 1"	1	12.045	12.069	400	1600	0.023	150.7	1119.7	12.051	0	1033.6	1184.3	"1119.7;1141.3;1141.3;1141.3"	1	NA	NA
50	"Spectrogram 1"	1	12.14	12.197	883.2	1442.9	0.057	150.7	1119.7	12.167	0	1055.1	1205.9	"1055.1;1141.3;1119.7;1119.7;1119.7;1141.3;1162.8;1162.8;1184.3;1184.3"	NA	NA	NA
51	"Spectrogram 1"	1	12.249	12.296	682.1	1320.5	0.047	193.8	1055.1	12.272	0	947.5	1141.3	"969.0;1012.1;1055.1;1055.1;1098.2;1098.2;1098.2;1119.7"	NA	NA	NA
52	"Spectrogram 1"	1	12.343	12.415	682.1	1381.7	0.073	236.9	1162.8	12.382	0	969	1205.9	"1055.1;1119.7;1012.1;1012.1;1098.2;1162.8;1162.8;1162.8;1162.8;1141.3;1162.8;1162.8"	NA	NA	NA
53	"Spectrogram 1"	1	12.467	12.545	612.2	1346.7	0.078	301.5	990.5	12.487	0	818.3	1119.7	"861.3;947.5;1012.1;1012.1;1012.1;1012.1;1033.6;1119.7;1141.3;925.9;904.4;904.4;1033.6;969.0"	NA	NA	NA
54	"Spectrogram 1"	1	12.659	12.722	594.7	1233	0.062	323	1012.1	12.701	0	796.7	1119.7	"1012.1;947.5;990.5;818.3;818.3;839.8;969.0;1033.6;1076.7;1119.7;861.3"	NA	NA	NA
55	"Spectrogram 1"	1	12.779	12.852	550.9	1276.8	0.073	323	947.5	12.806	0	775.2	1098.2	"839.8;839.8;861.3;861.3;990.5;1012.1;1098.2;1076.7;1055.1;947.5;1033.6;1033.6"	NA	NA	NA
