"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	2.042	2.997	411	1163.1	0.955	129.2	624.5	2.531	0.7	581.4	710.6	"689.1;689.1;667.5;818.3;753.7;753.7;818.3;796.7;818.3;689.1;624.5;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;624.5;602.9;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;689.1;689.1;689.1;646.0;667.5;710.6;732.1;732.1;753.7;775.2;646.0;646.0;646.0;818.3;775.2;753.7;732.1;732.1;753.7;753.7"	NA	NA	NA
2	"Spectrogram 1"	1	3.268	3.82	400	1600	0.551	236.9	667.5	3.529	0.5	602.9	839.8	"624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;624.5;646.0;646.0;646.0;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;667.5;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;732.1;710.6;710.6;732.1;732.1;732.1;732.1;775.2;775.2;775.2;796.7;818.3;839.8;861.3;882.9;904.4;904.4;818.3;732.1"	0.9368	NA	NA
3	"Spectrogram 1"	1	4.18	4.516	400	1600	0.337	279.9	689.1	4.342	0.3	624.5	904.4	"646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;710.6;732.1;732.1;732.1;732.1;710.6;775.2;775.2;796.7;818.3;839.8;861.3;904.4;925.9;947.5;732.1"	0.8448	NA	NA
4	"Spectrogram 1"	1	4.801	5.137	400	1600	0.337	344.5	710.6	5.004	0.3	624.5	969	"646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;667.5;667.5;667.5;689.1;710.6;689.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;710.6;775.2;775.2;796.7;818.3;839.8;861.3;925.9;947.5;990.5;990.5;689.1;818.3;775.2;796.7;796.7;839.8;882.9"	0.8276	NA	NA
5	"Spectrogram 1"	1	5.41	5.654	400	1600	0.244	387.6	775.2	5.573	0.2	646	1033.6	"667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;796.7;775.2;796.7;818.3;839.8;882.9;925.9;969.0;1012.1;1033.6;1033.6;710.6;969.0;990.5;1012.1;839.8;753.7"	0.7857	NA	NA
6	"Spectrogram 1"	1	5.791	6.103	419.8	1521.6	0.312	430.7	839.8	6.002	0.2	689.1	1119.7	"775.2;861.3;753.7;796.7;775.2;732.1;689.1;689.1;667.5;689.1;689.1;689.1;689.1;689.1;710.6;689.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;775.2;775.2;775.2;796.7;796.7;818.3;839.8;882.9;947.5;990.5;1033.6;1076.7;1098.2;1119.7;1098.2;1012.1;990.5;732.1;1098.2;1098.2;969.0;710.6;710.6;732.1;732.1"	NA	NA	NA
7	"Spectrogram 1"	1	6.222	6.449	400	1600	0.227	409.1	861.3	6.345	0.2	710.6	1119.7	"689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;775.2;796.7;775.2;796.7;818.3;839.8;839.8;882.9;925.9;969.0;1012.1;1076.7;1119.7;1119.7;1119.7;1141.3;861.3;990.5;969.0;969.0;969.0;969.0;969.0;861.3;882.9;947.5;753.7"	0.75	NA	NA
8	"Spectrogram 1"	1	6.6	6.751	400	1600	0.151	387.6	904.4	6.653	0.1	753.7	1141.3	"775.2;796.7;796.7;796.7;818.3;839.8;861.3;904.4;947.5;990.5;1033.6;1098.2;1119.7;1119.7;1141.3;1119.7;1055.1;753.7;969.0;969.0;969.0;969.0;839.8;861.3;904.4;947.5;1076.7"	0.8462	NA	NA
9	"Spectrogram 1"	1	6.867	6.995	400	1600	0.128	366.1	969	6.902	0.1	775.2	1141.3	"796.7;796.7;818.3;861.3;904.4;947.5;990.5;1033.6;1119.7;1119.7;1098.2;1119.7;796.7;839.8;1162.8;969.0;969.0;947.5;969.0;990.5;861.3;904.4;947.5"	0.7273	NA	NA
10	"Spectrogram 1"	1	7.105	7.175	400	1600	0.07	366.1	1012.1	7.129	0.1	775.2	1141.3	"839.8;839.8;969.0;969.0;1012.1;1076.7;1119.7;1119.7;1119.7;1119.7;1119.7;1076.7;1162.8"	0.9167	NA	NA
11	"Spectrogram 1"	1	7.291	7.355	400	1600	0.064	366.1	1033.6	7.32	0	796.7	1162.8	"818.3;818.3;861.3;925.9;990.5;1033.6;1119.7;1119.7;1098.2;1141.3;1119.7;1076.7"	1	NA	NA
12	"Spectrogram 1"	1	7.471	7.517	400	1600	0.046	344.5	1033.6	7.494	0	818.3	1162.8	"861.3;947.5;1012.1;1012.1;1055.1;1119.7;1119.7;1119.7;1119.7"	1	NA	NA
