"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	0.163	0.906	400	1600	0.743	107.7	646	0.546	0.7	581.4	689.1	"602.9;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;646.0;646.0;646.0;646.0;646.0;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;602.9;602.9;624.5;624.5;602.9;602.9;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;624.5"	0.8359	NA	NA
2	"Spectrogram 1"	1	1.282	2.191	442.8	1302.3	0.908	279.9	689.1	1.701	0.7	624.5	904.4	"646.0;646.0;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;667.5;689.1;689.1;667.5;667.5;689.1;689.1;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;689.1;689.1;689.1;710.6;667.5;667.5;710.6;710.6;710.6;710.6;689.1;689.1;710.6;689.1;689.1;710.6;710.6;689.1;710.6;839.8;861.3;861.3;882.9;904.4;969.0;1012.1;753.7;753.7;775.2;775.2;796.7;775.2;904.4;925.9;689.1;689.1;710.6;775.2;775.2;732.1;710.6;689.1;710.6;689.1;689.1"	NA	NA	NA
3	"Spectrogram 1"	1	2.338	3.032	494.9	1502	0.695	344.5	710.6	2.763	0.5	646	990.5	"710.6;904.4;753.7;732.1;689.1;667.5;689.1;646.0;689.1;689.1;710.6;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;689.1;710.6;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;1399.7;1399.7;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;710.6;710.6;710.6;732.1;710.6;710.6;732.1;710.6;710.6;689.1;710.6;710.6;710.6;732.1;775.2;796.7;775.2;818.3;839.8;839.8;861.3;861.3;882.9;904.4;969.0;732.1;753.7;775.2;775.2;775.2;775.2;839.8;710.6;710.6;796.7;818.3;753.7;947.5"	NA	NA	NA
4	"Spectrogram 1"	1	3.219	3.727	477.5	1571.5	0.508	430.7	732.1	3.518	0.4	667.5	1098.2	"710.6;667.5;689.1;689.1;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;689.1;689.1;732.1;732.1;732.1;732.1;710.6;732.1;732.1;753.7;775.2;710.6;710.6;732.1;732.1;839.8;861.3;861.3;882.9;904.4;947.5;1012.1;1098.2;1141.3;1141.3;1162.8;1399.7;1421.2;1421.2;796.7;796.7;710.6;925.9;925.9;861.3;753.7;775.2;732.1"	NA	NA	NA
5	"Spectrogram 1"	1	3.874	4.328	468.8	1554.1	0.454	538.3	818.3	4.145	0.3	667.5	1205.9	"689.1;667.5;689.1;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;710.6;689.1;689.1;689.1;732.1;732.1;732.1;753.7;775.2;753.7;753.7;753.7;732.1;710.6;710.6;732.1;861.3;861.3;882.9;882.9;925.9;969.0;1033.6;1119.7;1141.3;775.2;796.7;1399.7;1421.2;1421.2;1421.2;796.7;796.7;775.2;882.9;861.3;1012.1;732.1;775.2;753.7;732.1;732.1;818.3;839.8;732.1;861.3;818.3;839.8;904.4;775.2"	NA	NA	NA
6	"Spectrogram 1"	1	4.408	4.638	400	1600	0.23	710.6	861.3	4.58	0.2	689.1	1399.7	"667.5;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;753.7;710.6;710.6;710.6;732.1;710.6;710.6;839.8;839.8;839.8;861.3;882.9;904.4;969.0;1012.1;1119.7;1141.3;775.2;775.2;1399.7;1421.2;1442.7"	1	NA	NA
7	"Spectrogram 1"	1	4.809	4.981	400	1600	0.172	732.1	882.9	4.923	0.1	689.1	1421.2	"689.1;689.1;689.1;710.6;710.6;732.1;732.1;732.1;732.1;753.7;775.2;732.1;710.6;689.1;646.0;710.6;710.6;861.3;882.9;904.4;925.9;1012.1;1098.2;753.7;775.2;775.2;1421.2;1442.7;1442.7"	1	NA	NA
8	"Spectrogram 1"	1	5.143	5.248	400	1600	0.104	710.6	925.9	5.201	0.1	710.6	1421.2	"732.1;732.1;732.1;753.7;753.7;796.7;818.3;861.3;882.9;904.4;990.5;1098.2;1141.3;1141.3;732.1;753.7;753.7;753.7;775.2"	0.6667	NA	NA
9	"Spectrogram 1"	1	5.422	5.451	400	1600	0.029	409.1	990.5	5.433	0	839.8	1248.9	"882.9;925.9;1076.7;1119.7;1141.3;1141.3"	1	NA	NA
10	"Spectrogram 1"	1	5.59	5.648	400	1600	0.058	516.8	925.9	5.631	0.1	689.1	1205.9	"689.1;710.6;732.1;753.7;839.8;882.9;904.4;882.9;1119.7;1141.3"	0.5	NA	NA
11	"Spectrogram 1"	1	5.799	5.822	400	1600	0.023	366.1	1033.6	5.805	0	839.8	1205.9	"904.4;882.9;1119.7;1141.3"	1	NA	NA
12	"Spectrogram 1"	1	5.956	5.979	400	1600	0.023	409.1	1098.2	5.968	0	861.3	1270.5	"925.9;1141.3;1141.3;1141.3;1141.3"	1	NA	NA
13	"Spectrogram 1"	1	6.078	6.13	400	1600	0.052	581.4	1033.6	6.113	0.1	689.1	1270.5	"689.1;710.6;732.1;732.1;904.4;947.5;1098.2;1141.3;1141.3;1162.8"	0.7778	NA	NA
14	"Spectrogram 1"	1	6.223	6.269	400	1600	0.046	538.3	1012.1	6.252	0	710.6	1248.9	"732.1;732.1;732.1;904.4;925.9;1012.1;1119.7;1141.3;1141.3"	0.625	NA	NA
15	"Spectrogram 1"	1	6.38	6.409	400	1600	0.029	409.1	1076.7	6.391	0	861.3	1270.5	"947.5;947.5;1098.2;1141.3;1141.3;1141.3"	1	NA	NA
16	"Spectrogram 1"	1	6.513	6.542	400	1600	0.029	409.1	1119.7	6.525	0	861.3	1270.5	"947.5;947.5;1098.2;1141.3;1162.8;1292.0"	1	NA	NA
17	"Spectrogram 1"	1	6.647	6.67	400	1600	0.023	409.1	1119.7	6.658	0	861.3	1270.5	"1098.2;1141.3;1141.3;1141.3;1141.3"	1	NA	NA
18	"Spectrogram 1"	1	6.751	6.792	400	1600	0.041	559.9	1098.2	6.78	0	732.1	1292	"732.1;732.1;882.9;925.9;1055.1;1141.3;1162.8;1141.3"	0.7143	NA	NA
19	"Spectrogram 1"	1	6.891	6.92	400	1600	0.029	409.1	1141.3	6.902	0	882.9	1292	"925.9;1119.7;1119.7;1141.3;1141.3;1270.5"	1	NA	NA
20	"Spectrogram 1"	1	7.012	7.036	400	1600	0.023	366.1	1141.3	7.024	0	904.4	1270.5	"1119.7;1141.3;1141.3;1141.3;1119.7"	1	NA	NA
21	"Spectrogram 1"	1	7.117	7.158	400	1600	0.041	538.3	1141.3	7.146	0	753.7	1292	"732.1;753.7;925.9;990.5;1119.7;1141.3;1141.3;1292.0"	0.7143	NA	NA
22	"Spectrogram 1"	1	7.25	7.274	400	1600	0.023	344.5	1141.3	7.262	0	947.5	1292	"1119.7;1141.3;1141.3;1162.8;1313.5"	1	NA	NA
23	"Spectrogram 1"	1	7.342	7.399	451.5	1467.3	0.057	559.9	1141.3	7.378	0	732.1	1292	"732.1;753.7;753.7;1292.0;1012.1;1076.7;1141.3;1162.8;1141.3;1292.0"	NA	NA	NA
24	"Spectrogram 1"	1	7.446	7.526	373.3	1432.5	0.08	581.4	1119.7	7.494	0.1	710.6	1292	"775.2;710.6;710.6;710.6;753.7;969.0;969.0;1098.2;1162.8;1162.8;1292.0;1292.0;1313.5;1313.5"	NA	NA	NA
25	"Spectrogram 1"	1	7.553	7.643	434.1	1545.4	0.09	581.4	1141.3	7.61	0.1	732.1	1313.5	"775.2;818.3;1055.1;1055.1;732.1;753.7;990.5;1012.1;1119.7;1162.8;1162.8;1292.0;1292.0;1292.0;1292.0"	NA	NA	NA
26	"Spectrogram 1"	1	7.683	7.756	512.2	1467.3	0.073	559.9	1162.8	7.721	0.1	732.1	1292	"710.6;710.6;732.1;732.1;1012.1;1055.1;1141.3;1184.3;1205.9;1270.5;1292.0;1292.0;969.0"	NA	NA	NA
27	"Spectrogram 1"	1	7.793	7.867	494.9	1467.3	0.073	559.9	1141.3	7.837	0.1	732.1	1292	"689.1;689.1;732.1;753.7;904.4;1119.7;1119.7;1162.8;1205.9;1292.0;1292.0;1292.0;1292.0"	NA	NA	NA
28	"Spectrogram 1"	1	7.91	7.973	503.6	1476	0.063	538.3	1141.3	7.947	0	753.7	1292	"1055.1;753.7;753.7;904.4;1033.6;1119.7;1162.8;1205.9;1292.0;1292.0;1313.5"	NA	NA	NA
29	"Spectrogram 1"	1	8.005	8.064	400	1600	0.059	538.3	1141.3	8.057	0.1	732.1	1270.5	"775.2;775.2;969.0;689.1;710.6;732.1;969.0;1033.6;1119.7;1162.8;1162.8"	0.5294	NA	NA
30	"Spectrogram 1"	1	8.127	8.194	460.2	1458.6	0.067	559.9	1141.3	8.168	0	710.6	1270.5	"710.6;710.6;732.1;904.4;1055.1;1098.2;1162.8;1162.8;1119.7;1119.7;1012.1"	NA	NA	NA
31	"Spectrogram 1"	1	8.234	8.291	503.6	1536.7	0.057	495.3	1141.3	8.272	0	775.2	1270.5	"904.4;710.6;732.1;775.2;969.0;1076.7;1141.3;1162.8;1270.5;1292.0"	NA	NA	NA
32	"Spectrogram 1"	1	8.344	8.411	512.2	1554.1	0.067	387.6	1141.3	8.382	0	861.3	1248.9	"732.1;925.9;925.9;904.4;1033.6;1098.2;1141.3;1184.3;1248.9;1141.3;1162.8"	NA	NA	NA
33	"Spectrogram 1"	1	8.458	8.498	400	1600	0.041	387.6	1162.8	8.487	0	882.9	1270.5	"1033.6;861.3;904.4;925.9;1141.3;1162.8;1227.4;1292.0"	1	NA	NA
34	"Spectrogram 1"	1	8.562	8.609	400	1600	0.046	473.7	1162.8	8.591	0	796.7	1270.5	"710.6;753.7;1033.6;1033.6;1141.3;1162.8;1205.9;1248.9;1292.0"	0.875	NA	NA
35	"Spectrogram 1"	1	8.673	8.713	400	1600	0.041	323	1162.8	8.696	0	925.9	1248.9	"753.7;904.4;925.9;1119.7;1141.3;1184.3;1227.4"	0.7143	NA	NA
36	"Spectrogram 1"	1	8.783	8.812	400	1600	0.029	323	1141.3	8.8	0	925.9	1248.9	"1076.7;1141.3;1162.8;1162.8"	1	NA	NA
37	"Spectrogram 1"	1	8.887	8.916	400	1600	0.029	301.5	1119.7	8.899	0	904.4	1205.9	"1055.1;1141.3;1141.3;1141.3;1119.7;1141.3"	1	NA	NA
38	"Spectrogram 1"	1	8.975	9.021	400	1600	0.046	387.6	1141.3	8.998	0	861.3	1248.9	"861.3;904.4;904.4;969.0;1162.8;1184.3;1205.9;1184.3;1184.3"	1	NA	NA
39	"Spectrogram 1"	1	9.085	9.12	400	1600	0.035	258.4	1119.7	9.102	0	947.5	1205.9	"1162.8;1012.1;1076.7;1141.3;1162.8;1162.8;947.5"	1	NA	NA
