"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	1.918	2.768	382	1267.6	0.851	215.3	667.5	2.566	0.6	602.9	818.3	"732.1;732.1;732.1;753.7;667.5;775.2;646.0;624.5;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;602.9;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;753.7;753.7;753.7;775.2;775.2;796.7;818.3;818.3;861.3;882.9;904.4;882.9;925.9;689.1;753.7"	NA	NA	NA
2	"Spectrogram 1"	1	3.053	3.622	400	1600	0.569	236.9	710.6	3.483	0.5	624.5	861.3	"624.5;624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;796.7;796.7;818.3;839.8;839.8;861.3;904.4;904.4;925.9;947.5;904.4;947.5;947.5;904.4;882.9"	0.9388	NA	NA
3	"Spectrogram 1"	1	3.901	4.319	400	1600	0.418	258.4	732.1	4.197	0.3	646	904.4	"646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;796.7;796.7;818.3;839.8;861.3;882.9;904.4;925.9;947.5;990.5;990.5;947.5;925.9;990.5;904.4;882.9"	1	NA	NA
4	"Spectrogram 1"	1	4.557	4.894	400	1600	0.337	344.5	753.7	4.76	0.2	667.5	1012.1	"667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;796.7;796.7;796.7;818.3;839.8;839.8;882.9;904.4;904.4;947.5;990.5;1012.1;1055.1;1076.7;990.5;1033.6;1055.1;861.3;753.7;732.1;732.1"	0.9828	NA	NA
5	"Spectrogram 1"	1	5.097	5.352	400	1600	0.255	366.1	753.7	5.242	0.2	667.5	1033.6	"667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;775.2;796.7;796.7;818.3;861.3;882.9;904.4;969.0;1012.1;1033.6;1076.7;1098.2;990.5;1033.6;1076.7;1098.2;1076.7;1119.7"	0.9773	NA	NA
6	"Spectrogram 1"	1	5.538	5.747	400	1600	0.209	323	775.2	5.631	0.1	710.6	1033.6	"689.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;753.7;753.7;753.7;753.7;775.2;775.2;796.7;796.7;796.7;796.7;818.3;839.8;839.8;839.8;882.9;904.4;947.5;1012.1;1033.6;1055.1;1098.2;990.5;775.2;753.7;753.7;1098.2;1033.6;1141.3"	1	NA	NA
7	"Spectrogram 1"	1	5.915	6.101	400	1600	0.186	344.5	775.2	5.991	0.1	710.6	1055.1	"689.1;689.1;710.6;710.6;710.6;710.6;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;796.7;796.7;818.3;861.3;882.9;904.4;969.0;1012.1;1055.1;1076.7;990.5;1012.1;1055.1;882.9;1119.7;1076.7;861.3;818.3;753.7"	1	NA	NA
8	"Spectrogram 1"	1	6.235	6.415	400	1600	0.18	452.2	818.3	6.287	0.1	710.6	1162.8	"710.6;710.6;732.1;732.1;732.1;753.7;775.2;775.2;796.7;818.3;861.3;882.9;904.4;947.5;990.5;1033.6;1055.1;1098.2;1205.9;1227.4;1076.7;1119.7;1098.2;1033.6;1141.3;1227.4;1227.4;732.1;732.1;1184.3;1205.9;1227.4"	0.8387	NA	NA
9	"Spectrogram 1"	1	6.507	6.629	400	1600	0.122	430.7	818.3	6.548	0.1	710.6	1141.3	"710.6;732.1;732.1;732.1;753.7;775.2;796.7;839.8;882.9;925.9;990.5;1033.6;1055.1;947.5;1205.9;1033.6;1076.7;1119.7;1098.2;1033.6;1141.3;1227.4"	1	NA	NA
10	"Spectrogram 1"	1	6.728	6.838	400	1600	0.11	473.7	839.8	6.763	0.1	710.6	1184.3	"710.6;732.1;732.1;753.7;775.2;796.7;839.8;904.4;990.5;1033.6;1055.1;1205.9;1227.4;1227.4;1098.2;1119.7;1076.7;1033.6;1119.7;1248.9"	0.9474	NA	NA
