"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"Delta.Time..s."	"BW.90...Hz."	"Center.Freq..Hz."	"Center.Time..s."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Peak.Freq.Contour..Hz."	"Occupancy"	"Frame.Duration"	"Reason"
1	"Spectrogram 1"	1	0.337	1.213	400	1600	0.877	215.3	646	0.842	0.8	602.9	818.3	"624.5;624.5;624.5;624.5;624.5;624.5;624.5;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;732.1;732.1;753.7;753.7;796.7;818.3;839.8;861.3;882.9;904.4;947.5;1012.1;1055.1;1055.1"	0.9603	NA	NA
2	"Spectrogram 1"	1	1.509	2.252	400	1600	0.743	236.9	689.1	1.933	0.6	646	882.9	"646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;796.7;796.7;818.3;818.3;839.8;861.3;904.4;925.9;1033.6;1076.7;1141.3;689.1;689.1"	1	NA	NA
3	"Spectrogram 1"	1	2.554	3.106	400	1600	0.551	323	710.6	2.879	0.5	646	969	"646.0;667.5;667.5;646.0;667.5;667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;753.7;753.7;775.2;775.2;775.2;796.7;796.7;818.3;839.8;839.8;861.3;904.4;925.9;1012.1;1076.7;1141.3;1162.8;1248.9;1184.3"	1	NA	NA
4	"Spectrogram 1"	1	3.378	3.82	400	1600	0.441	473.7	732.1	3.616	0.3	667.5	1141.3	"667.5;667.5;667.5;667.5;667.5;667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;775.2;775.2;775.2;796.7;796.7;818.3;818.3;839.8;839.8;861.3;882.9;904.4;947.5;1055.1;1119.7;1184.3;1248.9;1270.5;1378.1;1378.1;796.7;775.2;732.1;689.1"	1	NA	NA
5	"Spectrogram 1"	1	4.046	4.342	400	1600	0.296	559.9	753.7	4.185	0.2	689.1	1248.9	"667.5;689.1;689.1;689.1;689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;753.7;775.2;775.2;775.2;796.7;818.3;818.3;839.8;839.8;861.3;882.9;904.4;925.9;1033.6;1098.2;1162.8;1248.9;1292.0;1378.1;1378.1;775.2;775.2;1399.7"	1	NA	NA
6	"Spectrogram 1"	1	4.539	4.766	400	1600	0.226	624.5	796.7	4.673	0.2	689.1	1313.5	"689.1;689.1;689.1;689.1;710.6;710.6;710.6;710.6;710.6;732.1;732.1;732.1;732.1;732.1;732.1;753.7;753.7;753.7;775.2;775.2;775.2;796.7;796.7;818.3;818.3;818.3;839.8;861.3;882.9;904.4;947.5;1055.1;1119.7;1184.3;1270.5;1378.1;1399.7;1399.7;1421.2;796.7"	0.9487	NA	NA
7	"Spectrogram 1"	1	4.946	5.132	400	1600	0.186	732.1	861.3	5.05	0.2	689.1	1421.2	"689.1;689.1;689.1;710.6;710.6;710.6;710.6;732.1;732.1;732.1;753.7;753.7;775.2;775.2;796.7;818.3;818.3;839.8;839.8;861.3;904.4;925.9;1012.1;1098.2;1162.8;1248.9;1270.5;1399.7;1421.2;1464.3;1464.3;1442.7;1399.7"	1	NA	NA
8	"Spectrogram 1"	1	5.271	5.428	400	1600	0.157	775.2	882.9	5.358	0.1	689.1	1464.3	"667.5;667.5;689.1;689.1;710.6;732.1;732.1;753.7;753.7;775.2;796.7;818.3;818.3;839.8;861.3;904.4;925.9;1033.6;1098.2;1184.3;1248.9;1378.1;1421.2;1442.7;1485.8;1464.3;1464.3;775.2"	1	NA	NA
9	"Spectrogram 1"	1	5.538	5.666	400	1600	0.128	775.2	925.9	5.608	0.1	689.1	1464.3	"667.5;667.5;667.5;689.1;710.6;732.1;753.7;775.2;818.3;839.8;861.3;882.9;925.9;1055.1;1141.3;1205.9;1270.5;1399.7;1421.2;1464.3;1464.3;1464.3;1399.7"	1	NA	NA
10	"Spectrogram 1"	1	5.776	5.869	400	1600	0.093	753.7	925.9	5.822	0.1	689.1	1442.7	"689.1;689.1;710.6;732.1;775.2;796.7;839.8;882.9;904.4;1033.6;1119.7;1184.3;1270.5;1399.7;1421.2;1442.7"	1	NA	NA
11	"Spectrogram 1"	1	5.973	6.06	400	1600	0.087	732.1	947.5	6.014	0.1	689.1	1421.2	"689.1;689.1;732.1;753.7;796.7;861.3;882.9;1076.7;1119.7;1205.9;1270.5;1399.7;1421.2;1421.2;1399.7;1399.7"	1	NA	NA
12	"Spectrogram 1"	1	6.147	6.217	400	1600	0.07	667.5	1055.1	6.182	0.1	710.6	1378.1	"710.6;710.6;753.7;818.3;882.9;904.4;1076.7;1184.3;1248.9;1292.0;1421.2;1399.7;1399.7"	1	NA	NA
13	"Spectrogram 1"	1	6.298	6.356	400	1600	0.058	602.9	1012.1	6.333	0	710.6	1313.5	"710.6;710.6;839.8;839.8;882.9;925.9;1119.7;1184.3;1270.5;1378.1;1442.7"	1	NA	NA
14	"Spectrogram 1"	1	6.449	6.507	400	1600	0.058	581.4	1076.7	6.478	0	732.1	1313.5	"710.6;753.7;839.8;882.9;925.9;1098.2;1184.3;1270.5;1292.0;1162.8;1205.9"	1	NA	NA
15	"Spectrogram 1"	1	6.589	6.647	400	1600	0.058	581.4	1055.1	6.618	0	732.1	1313.5	"753.7;753.7;818.3;882.9;925.9;1076.7;1184.3;1270.5;1292.0;1184.3;1184.3"	1	NA	NA
16	"Spectrogram 1"	1	6.728	6.78	400	1600	0.052	602.9	1076.7	6.757	0	732.1	1335.1	"732.1;861.3;861.3;904.4;1098.2;1162.8;1227.4;1313.5;1356.6;1184.3"	1	NA	NA
17	"Spectrogram 1"	1	6.861	6.914	400	1600	0.052	581.4	1098.2	6.891	0	753.7	1335.1	"796.7;796.7;882.9;904.4;1076.7;1184.3;1248.9;1313.5;1335.1;1184.3"	1	NA	NA
18	"Spectrogram 1"	1	6.989	7.041	400	1600	0.052	581.4	1076.7	7.018	0	732.1	1313.5	"753.7;753.7;861.3;904.4;904.4;1141.3;1227.4;1292.0;1313.5;1184.3"	1	NA	NA
19	"Spectrogram 1"	1	7.117	7.169	400	1600	0.052	581.4	1076.7	7.146	0	753.7	1335.1	"775.2;775.2;861.3;904.4;904.4;1184.3;1270.5;1313.5;1356.6;1184.3"	1	NA	NA
20	"Spectrogram 1"	1	7.245	7.297	400	1600	0.052	538.3	1119.7	7.274	0	775.2	1313.5	"775.2;775.2;882.9;904.4;1076.7;1141.3;1227.4;1292.0;1313.5;1313.5"	1	NA	NA
21	"Spectrogram 1"	1	7.372	7.419	400	1600	0.046	559.9	1098.2	7.396	0	753.7	1313.5	"732.1;818.3;882.9;925.9;1098.2;1184.3;1292.0;1313.5;1184.3"	1	NA	NA
22	"Spectrogram 1"	1	7.5	7.546	400	1600	0.046	559.9	1119.7	7.523	0	753.7	1313.5	"753.7;839.8;882.9;904.4;1162.8;1227.4;1292.0;1270.5;1184.3"	1	NA	NA
23	"Spectrogram 1"	1	7.628	7.668	400	1600	0.041	473.7	1141.3	7.645	0	839.8	1313.5	"861.3;904.4;1055.1;1162.8;1248.9;1292.0;1270.5;1184.3"	1	NA	NA
24	"Spectrogram 1"	1	7.744	7.79	400	1600	0.046	516.8	1098.2	7.767	0	796.7	1313.5	"861.3;882.9;882.9;904.4;1141.3;1227.4;1292.0;1292.0;1184.3"	1	NA	NA
25	"Spectrogram 1"	1	7.866	7.918	400	1600	0.052	516.8	1141.3	7.889	0	796.7	1313.5	"732.1;861.3;904.4;904.4;1141.3;1205.9;1270.5;1292.0;1292.0;1270.5"	1	NA	NA
26	"Spectrogram 1"	1	7.988	8.028	400	1600	0.041	495.3	1098.2	8.011	0	796.7	1292	"882.9;882.9;904.4;1162.8;1162.8;1227.4;1292.0;1292.0"	1	NA	NA
27	"Spectrogram 1"	1	8.098	8.144	400	1600	0.046	559.9	1055.1	8.121	0	732.1	1292	"753.7;753.7;861.3;882.9;1098.2;1141.3;1184.3;1292.0"	1	NA	NA
28	"Spectrogram 1"	1	8.22	8.272	400	1600	0.052	516.8	1119.7	8.243	0	796.7	1313.5	"839.8;882.9;882.9;1033.6;1141.3;1227.4;1292.0;1292.0;1292.0"	1	NA	NA
29	"Spectrogram 1"	1	8.336	8.388	400	1600	0.052	516.8	1119.7	8.359	0	775.2	1292	"839.8;882.9;882.9;1119.7;1119.7;1184.3;1270.5;1292.0;1292.0;1292.0"	1	NA	NA
30	"Spectrogram 1"	1	8.446	8.504	400	1600	0.058	538.3	1141.3	8.475	0	775.2	1313.5	"753.7;753.7;861.3;904.4;1098.2;1162.8;1248.9;1292.0;1292.0;1292.0;1292.0"	1	NA	NA
31	"Spectrogram 1"	1	8.562	8.615	400	1600	0.052	516.8	1141.3	8.586	0	775.2	1292	"732.1;882.9;882.9;1012.1;1119.7;1184.3;1248.9;1292.0;1292.0;1292.0"	1	NA	NA
32	"Spectrogram 1"	1	8.673	8.725	400	1600	0.052	538.3	1141.3	8.702	0	753.7	1292	"710.6;753.7;861.3;904.4;1098.2;1162.8;1248.9;1292.0;1292.0;1292.0"	1	NA	NA
33	"Spectrogram 1"	1	8.783	8.835	400	1600	0.052	516.8	1162.8	8.812	0	775.2	1292	"796.7;861.3;904.4;904.4;1119.7;1184.3;1248.9;1292.0;1292.0;1292.0"	1	NA	NA
34	"Spectrogram 1"	1	8.893	8.94	400	1600	0.046	516.8	1141.3	8.922	0	775.2	1292	"775.2;775.2;882.9;904.4;1098.2;1162.8;1227.4;1270.5;1205.9"	1	NA	NA
35	"Spectrogram 1"	1	9.004	9.05	400	1600	0.046	495.3	1141.3	9.027	0	796.7	1292	"753.7;882.9;882.9;1141.3;1141.3;1205.9;1270.5;1292.0;1292.0"	1	NA	NA
36	"Spectrogram 1"	1	9.114	9.16	400	1600	0.046	452.2	1162.8	9.137	0	839.8	1292	"861.3;861.3;904.4;1076.7;1184.3;1227.4;1248.9;1205.9"	1	NA	NA
37	"Spectrogram 1"	1	9.224	9.265	400	1600	0.041	473.7	1162.8	9.242	0	839.8	1313.5	"904.4;1076.7;1162.8;1162.8;1184.3;1292.0;1292.0;1292.0"	1	NA	NA
38	"Spectrogram 1"	1	9.329	9.369	400	1600	0.041	430.7	1141.3	9.352	0	839.8	1270.5	"882.9;882.9;904.4;1098.2;1162.8;1248.9;1270.5;1270.5"	1	NA	NA
39	"Spectrogram 1"	1	9.433	9.474	400	1600	0.041	495.3	1119.7	9.456	0	775.2	1270.5	"839.8;839.8;882.9;1076.7;1141.3;1227.4;1248.9"	1	NA	NA
40	"Spectrogram 1"	1	9.543	9.584	400	1600	0.041	473.7	1119.7	9.567	0	796.7	1270.5	"925.9;925.9;1098.2;1098.2;1184.3;1227.4;1248.9;1270.5"	1	NA	NA
41	"Spectrogram 1"	1	9.648	9.689	400	1600	0.041	473.7	1076.7	9.671	0	775.2	1248.9	"861.3;904.4;904.4;1055.1;1162.8;1205.9;1248.9;1248.9"	1	NA	NA
42	"Spectrogram 1"	1	9.758	9.799	400	1600	0.041	452.2	1119.7	9.776	0	818.3	1270.5	"818.3;882.9;925.9;1119.7;1205.9;1227.4;1227.4;1055.1"	1	NA	NA
43	"Spectrogram 1"	1	9.863	9.897	400	1600	0.035	452.2	1098.2	9.88	0	818.3	1270.5	"882.9;882.9;1119.7;1119.7;1184.3;1248.9;1270.5"	1	NA	NA
